tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
250,2.1828112449799195,1,0.0003,0.0175,2025-09-28T09:02:14.938492
250,2.4399036144578314,2,0.0006,0.026,2025-09-28T09:02:24.604058
250,2.1522248995983935,3,0.139,0.0282,2025-09-28T09:02:34.433530
250,1.992,4,0.0004,0.0334,2025-09-28T09:02:43.571755
250,1.992,5,0.0003,0.0168,2025-09-28T09:02:52.790221
250,1.992,6,0.0005,0.0159,2025-09-28T09:03:02.434257
250,1.992,7,0.0002,0.0192,2025-09-28T09:03:12.039121
250,1.992,8,0.0002,0.0184,2025-09-28T09:03:20.416530
250,1.992,9,0.0002,0.0163,2025-09-28T09:03:30.032911
250,1.992,10,0.0002,0.0193,2025-09-28T09:03:39.611177
250,1.992,11,0.0003,0.0164,2025-09-28T09:03:49.244725
250,1.992,12,0.0003,0.0145,2025-09-28T09:03:57.606653
250,1.992,13,0.0002,0.0174,2025-09-28T09:04:07.188624
250,3.646265060240964,14,0.0308,0.0274,2025-09-28T09:04:16.878005
250,2.695839357429719,15,0.0005,0.0209,2025-09-28T09:04:27.513924
250,3.136417670682731,16,0.0004,0.021,2025-09-28T09:04:35.862289
250,3.2152610441767067,17,0.0004,0.0202,2025-09-28T09:04:45.855120
250,2.0623935742971886,18,0.0005,0.0275,2025-09-28T09:04:55.769316
250,2.0157429718875504,19,0.0004,0.0252,2025-09-28T09:05:05.323948
250,2.209542168674699,20,0.0014,0.0259,2025-09-28T09:05:13.865441
250,2.653461847389558,22,0.0022,0.0194,2025-09-28T09:05:26.176159
250,2.453718875502008,23,0.0017,0.0234,2025-09-28T09:05:35.893086
250,5.7426184738955826,24,1.2028,0.0279,2025-09-28T09:05:46.737731
250,2.8366586345381526,25,0.0033,0.0274,2025-09-28T09:05:58.005063
250,1.992,26,0.0003,0.0161,2025-09-28T09:06:07.684618
250,1.992,27,0.0003,0.0177,2025-09-28T09:06:16.072498
250,1.992,28,0.0003,0.0165,2025-09-28T09:06:25.683777
250,1.992,29,0.0002,0.0167,2025-09-28T09:06:35.497587
250,1.992,30,0.0002,0.0199,2025-09-28T09:06:45.191513
