tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
750,5.809669781931464,1,0.0104,0.4674,2025-09-28T09:53:55.218482
750,8.097071651090342,2,0.015,0.2609,2025-09-28T09:54:04.638661
750,6.20972318647085,3,0.0086,0.2622,2025-09-28T09:54:16.081902
750,6.209975967957276,4,0.0034,0.2899,2025-09-28T09:54:27.260644
750,7.1610823319982195,5,0.1028,0.2647,2025-09-28T09:54:38.257618
750,6.485130396083667,6,0.0042,0.307,2025-09-28T09:54:50.276813
750,8.231241655540721,7,0.0316,0.2566,2025-09-28T09:55:02.670547
750,9.831298620382732,8,0.3724,0.2813,2025-09-28T09:55:14.631780
750,8.340546506453048,9,0.0298,0.2551,2025-09-28T09:55:29.401931
750,11.070728971962616,10,0.5807,0.2859,2025-09-28T09:55:40.932869
750,9.138873164218959,11,0.0154,0.2603,2025-09-28T09:55:54.483102
750,7.723560302625724,12,0.0143,0.2798,2025-09-28T09:56:05.742498
750,8.02474054294615,13,0.0175,0.2537,2025-09-28T09:56:16.891904
750,7.487444592790387,14,0.0059,0.2573,2025-09-28T09:56:28.160919
750,7.647366266132622,15,0.0185,0.4731,2025-09-28T09:56:38.086654
750,6.545975967957276,16,0.0095,0.2627,2025-09-28T09:56:48.886535
750,9.454063195371607,17,0.0618,0.2889,2025-09-28T09:57:00.138435
750,8.182522474410325,18,0.0078,0.263,2025-09-28T09:57:11.442526
750,5.462159323542501,19,0.0173,0.2713,2025-09-28T09:57:22.342066
750,7.369595015576324,21,0.0172,0.2628,2025-09-28T09:57:34.381835
750,8.03034445927904,22,0.0095,0.2683,2025-09-28T09:57:45.469909
750,7.6540169114374725,23,0.0074,0.2868,2025-09-28T09:57:56.737536
750,8.38625723186471,24,0.0282,0.4962,2025-09-28T09:58:07.137517
750,7.363243435692034,27,0.0184,0.5015,2025-09-28T09:58:20.918837
750,6.528064085447263,28,0.0443,0.2708,2025-09-28T09:58:31.063488
750,9.018591900311527,29,0.3323,0.2839,2025-09-28T09:58:42.808238
750,7.8701237205162435,30,0.0719,0.2659,2025-09-28T09:58:54.954816
