tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
1500,2.2671372025794976,1,0.0022,0.932,2025-09-28T12:44:52.165393
1500,2.039373804758728,2,0.0015,1.0045,2025-09-28T12:45:50.552865
1500,3.4689286190793864,3,0.0024,0.8642,2025-09-28T12:46:45.938607
1500,2.6012043584611964,4,0.0014,0.9655,2025-09-28T12:47:45.144333
1500,3.4608992661774516,5,0.0016,0.9459,2025-09-28T12:48:41.277034
1500,3.4190438069824327,6,0.0028,1.0417,2025-09-28T12:49:37.789437
1500,4.124324660885034,7,0.0026,1.4497,2025-09-28T12:50:37.410638
1500,2.7290611518790304,8,0.0045,0.9993,2025-09-28T12:51:34.541227
1500,3.9474867689570825,10,0.0024,0.9993,2025-09-28T12:52:34.127965
1500,7.965424060484768,11,1.2408,1.1108,2025-09-28T12:53:35.549241
1500,3.540886813431176,12,0.0126,0.9749,2025-09-28T12:54:45.071261
1500,2.236938403380031,13,0.0044,0.9518,2025-09-28T12:55:51.778466
1500,5.587074938848121,14,0.3449,1.1016,2025-09-28T12:56:47.656595
1500,3.3303224371803424,15,0.0017,0.9516,2025-09-28T12:57:49.204643
1500,2.956837002446075,16,0.0033,0.8665,2025-09-28T12:58:52.759369
1500,2.018552812986435,17,0.0664,1.861,2025-09-28T12:59:50.523017
1500,2.05254881031799,18,0.0055,0.9078,2025-09-28T13:00:49.670739
1500,2.287019790971759,19,0.0045,0.8205,2025-09-28T13:01:46.847612
1500,2.0510455859461865,20,0.0019,1.0419,2025-09-28T13:02:42.929135
1500,1.9999982210362464,21,0.0303,0.5061,2025-09-28T13:03:41.045812
1500,2.269803869246164,22,0.0032,0.9651,2025-09-28T13:04:37.044408
1500,3.89195552590616,23,0.0134,1.1275,2025-09-28T13:05:34.544219
1500,3.6798372248165445,24,0.0062,1.0978,2025-09-28T13:06:33.186479
1500,3.396187680676006,25,0.2921,1.0433,2025-09-28T13:07:42.876146
1500,2.4085319101623304,26,0.0102,1.6794,2025-09-28T13:08:42.976700
1500,3.4835730486991325,27,0.0409,1.0006,2025-09-28T13:09:39.065069
1500,3.936773849232822,28,0.0305,1.7783,2025-09-28T13:10:38.051838
1500,3.667304425172337,29,0.2267,1.4879,2025-09-28T13:11:41.890234
1500,2.948792528352235,30,0.0087,1.8993,2025-09-28T13:12:44.448762
