tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
1500,6.329938181009562,1,0.0085,1.1241,2025-09-28T12:34:13.027027
1500,8.290913053146543,2,0.021,1.1221,2025-09-28T12:34:35.362072
1500,7.598318879252835,3,0.0123,1.1488,2025-09-28T12:34:58.755469
1500,6.56802223704692,4,0.0069,1.1744,2025-09-28T12:35:21.971457
1500,8.111563264398487,5,0.117,1.46,2025-09-28T12:35:43.999619
1500,6.75356548810318,6,0.0075,1.2051,2025-09-28T12:36:08.248496
1500,10.496511452079163,7,0.0414,1.121,2025-09-28T12:36:33.249575
1500,10.657388481209695,8,0.3941,1.2073,2025-09-28T12:36:56.594622
1500,6.987525016677785,9,0.0542,2.0267,2025-09-28T12:37:25.860555
1500,12.207748276628864,10,0.6299,1.2961,2025-09-28T12:37:48.579556
1500,9.194930842784078,11,0.0265,1.1315,2025-09-28T12:38:18.301558
1500,8.191901267511675,12,0.0133,1.8584,2025-09-28T12:38:40.753583
1500,8.50226462085835,13,0.0247,1.1881,2025-09-28T12:39:02.707714
1500,8.859716255281299,14,0.0132,1.1519,2025-09-28T12:39:26.200941
1500,6.649404491883478,15,0.0189,1.1523,2025-09-28T12:39:48.964812
1500,8.606334000444742,16,0.0144,1.1525,2025-09-28T12:40:11.770088
1500,11.748988214365133,17,0.0649,1.5835,2025-09-28T12:40:33.077234
1500,9.181798532354904,18,0.0137,1.197,2025-09-28T12:40:55.572583
1500,8.363489437402713,19,0.0231,1.1198,2025-09-28T12:41:18.089921
1500,8.803544585279075,21,0.0229,1.1568,2025-09-28T12:41:41.386693
1500,8.090438959306205,22,0.0164,1.151,2025-09-28T12:42:03.945495
1500,8.420652879697576,23,0.016,1.4656,2025-09-28T12:42:25.574905
1500,7.9065581498776965,24,0.03,1.1279,2025-09-28T12:42:48.221550
1500,7.957296864576384,27,0.0186,1.1901,2025-09-28T12:43:12.774729
1500,9.419402268178786,28,0.075,1.1857,2025-09-28T12:43:35.493854
1500,10.083887925283522,29,0.3418,1.1989,2025-09-28T12:44:00.831801
1500,8.332840560373583,30,0.1283,1.1619,2025-09-28T12:44:26.681435
