tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
1750,2.2352880829861963,1,0.0017,1.2541,2025-09-28T14:04:51.730157
1750,3.0196428979825205,2,0.0026,1.2571,2025-09-28T14:05:58.791299
1750,3.0303376623376623,3,0.0045,1.9175,2025-09-28T14:07:07.234679
1750,4.849331699746794,4,0.0016,1.1768,2025-09-28T14:08:14.942932
1750,3.632165318957772,5,0.004,1.2405,2025-09-28T14:09:21.694948
1750,3.572980478640856,6,0.0066,1.19,2025-09-28T14:10:33.428671
1750,3.4716595605652207,7,0.0027,1.3815,2025-09-28T14:11:43.526185
1750,2.9675027362574533,8,0.0037,1.2719,2025-09-28T14:12:51.928766
1750,4.081280731846769,10,0.0024,1.56,2025-09-28T14:14:03.255525
1750,8.061637180429633,11,1.2486,1.5611,2025-09-28T14:15:15.271534
1750,3.904548885077187,12,0.0401,1.9526,2025-09-28T14:16:39.076186
1750,2.9690729396389774,13,0.0018,1.3907,2025-09-28T14:17:56.730252
1750,3.6127210650984236,14,0.0122,1.4123,2025-09-28T14:19:05.020762
1750,2.0159163603691908,16,0.0355,1.4715,2025-09-28T14:20:20.231124
1750,2.0451379563832393,17,0.0065,1.1637,2025-09-28T14:21:27.192797
1750,3.804971983990852,18,0.0054,1.7471,2025-09-28T14:22:35.007398
1750,1.9999986931307685,19,0.0292,0.6622,2025-09-28T14:23:40.572942
1750,3.6426823490974436,20,0.3033,1.4008,2025-09-28T14:24:47.113680
1750,3.303024422118762,21,0.012,1.3208,2025-09-28T14:25:59.019535
1750,3.44288491382831,22,0.043,1.3126,2025-09-28T14:27:06.255654
1750,3.841360450869885,23,0.0223,1.5258,2025-09-28T14:28:14.232662
1750,2.201125867842849,24,0.03,1.4499,2025-09-28T14:29:26.970369
1750,2.020440741648289,25,0.1328,1.7592,2025-09-28T14:30:34.882771
1750,3.6604211386098178,26,0.0162,1.4654,2025-09-28T14:31:42.803080
1750,3.540244711263579,27,0.0592,1.527,2025-09-28T14:32:50.867427
1750,2.6945369598954505,28,0.0018,1.0222,2025-09-28T14:34:05.229402
1750,2.015905905415339,29,0.0016,1.4292,2025-09-28T14:35:13.576972
1750,1.9988571428571429,30,0.0028,1.2061,2025-09-28T14:36:19.818149
