tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
2250,6.50353361988044,1,0.0089,3.7458,2025-09-28T17:11:53.571550
2250,8.202978113729559,2,0.0227,2.5175,2025-09-28T17:12:27.787109
2250,7.740039326120251,3,0.0156,2.571,2025-09-28T17:13:03.869289
2250,6.911713057655255,4,0.0068,2.6534,2025-09-28T17:13:39.378607
2250,8.458854799664048,5,0.1192,2.5201,2025-09-28T17:14:16.189272
2250,8.342518650264315,6,0.0082,2.6378,2025-09-28T17:14:54.271495
2250,9.543813843189566,7,0.0663,2.5561,2025-09-28T17:15:31.180996
2250,11.558625364359468,8,0.3874,3.8956,2025-09-28T17:16:07.265066
2250,7.631597648337532,9,0.0296,2.4985,2025-09-28T17:16:49.199564
2250,12.869311990514303,10,1.1545,3.3434,2025-09-28T17:17:25.163860
2250,7.711905933501309,11,0.0271,2.6605,2025-09-28T17:18:10.896145
2250,9.669894965663751,12,0.0266,2.5011,2025-09-28T17:18:46.309346
2250,8.784448594437034,13,0.0196,2.5877,2025-09-28T17:19:21.498655
2250,8.588210463909887,14,0.0307,3.5299,2025-09-28T17:19:56.143058
2250,7.357981522652043,15,0.0164,3.1016,2025-09-28T17:20:31.229247
2250,8.971442122424781,16,0.0242,2.619,2025-09-28T17:21:06.205129
2250,8.666534262141198,17,0.0795,2.5061,2025-09-28T17:21:40.645998
2250,8.869048367175536,18,0.0141,2.6454,2025-09-28T17:22:18.035874
2250,7.878505212193073,19,0.0291,3.7375,2025-09-28T17:22:53.007214
2250,7.554099105775406,21,0.0288,2.6504,2025-09-28T17:23:27.896545
2250,9.426243762659947,22,0.0256,2.5163,2025-09-28T17:24:02.181014
2250,9.924085964132207,23,0.0366,2.6303,2025-09-28T17:24:36.350881
2250,8.550489007460106,24,0.0452,2.7072,2025-09-28T17:25:09.410344
2250,9.274627933402499,27,0.025,2.488,2025-09-28T17:25:46.612276
2250,9.604537720468356,28,0.0834,2.5471,2025-09-28T17:26:20.434382
2250,10.76243821945556,29,0.3194,2.6874,2025-09-28T17:26:57.902439
2250,8.627842497900302,30,0.1116,2.597,2025-09-28T17:27:36.940167
