tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
1000,2.36202002002002,1,0.0017,0.7113,2025-09-28T10:43:20.506908
1000,1.998,2,0.0008,0.2458,2025-09-28T10:43:59.942862
1000,2.053299299299299,3,0.0026,0.7974,2025-09-28T10:44:36.361715
1000,3.6136876876876878,4,0.0017,0.5482,2025-09-28T10:45:13.346737
1000,2.582166166166166,5,0.0017,0.7325,2025-09-28T10:45:53.433922
1000,3.402234234234234,6,0.0045,0.7481,2025-09-28T10:46:30.067685
1000,2.8687427427427425,7,0.0034,0.4374,2025-09-28T10:47:06.797254
1000,2.068758758758759,8,0.001,0.4072,2025-09-28T10:47:44.358777
1000,4.034966966966967,9,0.0022,0.4183,2025-09-28T10:48:22.112202
1000,2.806314314314314,11,0.0015,0.3357,2025-09-28T10:49:04.041265
1000,7.683105105105105,12,1.7026,0.4459,2025-09-28T10:49:42.533090
1000,3.970876876876877,13,0.0739,0.4808,2025-09-28T10:50:27.827852
1000,3.7827087087087086,14,0.0026,0.414,2025-09-28T10:51:14.791169
1000,3.9495115115115116,15,0.0019,0.4314,2025-09-28T10:51:52.806086
1000,2.847145145145145,16,0.0024,0.4428,2025-09-28T10:52:35.630720
1000,1.999995995995996,17,0.0059,0.2504,2025-09-28T10:53:12.645931
1000,3.70625025025025,18,0.0013,0.3613,2025-09-28T10:53:49.544413
1000,2.6411351351351353,19,0.0028,0.4234,2025-09-28T10:54:27.112454
1000,2.141239239239239,20,0.0018,0.4225,2025-09-28T10:55:06.949483
1000,2.3555595595595595,21,0.003,0.3857,2025-09-28T10:55:44.555041
1000,4.944018018018018,22,0.352,0.4678,2025-09-28T10:56:22.508818
1000,2.167891891891892,23,0.027,0.7067,2025-09-28T10:57:04.241069
1000,3.4675155155155157,24,0.0101,0.5411,2025-09-28T10:57:40.279910
1000,2.0277437437437436,25,0.0598,0.8214,2025-09-28T10:58:18.830145
1000,2.0782342342342344,26,0.0041,0.7271,2025-09-28T10:58:56.581321
1000,3.959245245245245,27,0.0042,0.3369,2025-09-28T10:59:33.636699
1000,3.1675115115115116,28,0.0214,0.46,2025-09-28T11:00:11.649209
1000,1.999995995995996,29,0.0287,0.2141,2025-09-28T11:00:49.656181
1000,2.007963963963964,30,0.0025,0.4187,2025-09-28T11:01:27.208642
