tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
750,2.4310778816199377,1,0.001,0.2074,2025-09-28T09:59:08.267147
750,1.9973333333333334,2,0.0006,0.1434,2025-09-28T09:59:39.067133
750,1.9973333333333334,3,0.001,0.1591,2025-09-28T10:00:06.423080
750,2.0655700934579437,4,0.0015,0.2384,2025-09-28T10:00:33.823336
750,3.5445874499332444,5,0.0008,0.2018,2025-09-28T10:01:01.556945
750,3.0266381842456607,6,0.0012,0.4064,2025-09-28T10:01:31.346029
750,4.021002225189141,7,0.0031,0.211,2025-09-28T10:01:59.886572
750,2.960167334223409,8,0.0047,0.1948,2025-09-28T10:02:27.534508
750,2.091125945705385,9,0.0011,0.23,2025-09-28T10:02:55.287690
750,3.9381575433911884,10,0.0024,0.2078,2025-09-28T10:03:22.802173
750,3.312697819314642,12,0.0013,0.1829,2025-09-28T10:03:54.391678
750,4.833199821984869,13,0.0022,0.2498,2025-09-28T10:04:22.195671
750,7.485112594570539,14,1.6905,0.4427,2025-09-28T10:04:52.884245
750,2.5926088117489985,15,0.0052,0.2301,2025-09-28T10:05:26.840422
750,1.9973333333333334,16,0.0023,0.2525,2025-09-28T10:05:56.758926
750,3.970057854917668,17,0.0594,0.2789,2025-09-28T10:06:25.145788
750,1.9973333333333334,18,0.0011,0.2449,2025-09-28T10:06:58.820481
750,4.0021183800623055,19,0.0441,0.245,2025-09-28T10:07:27.255616
750,3.7698976412995107,20,0.0009,0.249,2025-09-28T10:07:56.306770
750,3.015163328882955,21,0.0014,0.4535,2025-09-28T10:08:27.599782
750,1.9999928793947486,22,0.0019,0.1491,2025-09-28T10:08:56.282482
750,3.083574543836226,23,0.0017,0.2489,2025-09-28T10:09:23.494904
750,3.3031028037383177,24,0.0011,0.2237,2025-09-28T10:09:51.338460
750,3.6714695149087673,25,0.0022,0.2071,2025-09-28T10:10:19.471655
750,2.314787716955941,26,0.007,0.4323,2025-09-28T10:10:48.297650
750,3.4373831775700934,27,0.0418,0.2736,2025-09-28T10:11:16.335334
750,4.158529595015576,28,0.0009,0.2402,2025-09-28T10:11:46.018281
750,2.0940845571873608,29,0.0039,0.2152,2025-09-28T10:12:13.591624
750,2.0368776145972407,30,0.0627,0.4717,2025-09-28T10:12:42.828519
