tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
500,4.710733466933868,1,0.007,0.1128,2025-09-28T09:25:25.237938
500,7.656993987975952,2,0.0153,0.1433,2025-09-28T09:25:31.536219
500,6.162597194388778,3,0.0075,0.1132,2025-09-28T09:25:39.398024
500,5.874973947895792,4,0.0059,0.2115,2025-09-28T09:25:46.407039
500,6.291503006012024,5,0.0882,0.1173,2025-09-28T09:25:53.284926
500,5.8125851703406815,6,0.002,0.1222,2025-09-28T09:26:01.629670
500,7.155695390781563,7,0.0241,0.1309,2025-09-28T09:26:09.273717
500,8.821458917835672,8,0.3346,0.1326,2025-09-28T09:26:17.584246
500,6.005490981963928,9,0.0321,0.1163,2025-09-28T09:26:28.354923
500,11.46597995991984,10,0.5595,0.1335,2025-09-28T09:26:35.426109
500,8.078260521042084,11,0.0138,0.1186,2025-09-28T09:26:44.640808
500,8.249795591182364,12,0.0115,0.1212,2025-09-28T09:26:52.598229
500,6.466861723446894,13,0.0159,0.1185,2025-09-28T09:26:59.098626
500,5.964841683366734,14,0.0061,0.1205,2025-09-28T09:27:07.031051
500,7.202052104208417,15,0.0094,0.1194,2025-09-28T09:27:13.294956
500,5.694300601202404,16,0.0083,0.125,2025-09-28T09:27:20.988353
500,8.054236472945892,17,0.1003,0.1807,2025-09-28T09:27:29.024609
500,8.084032064128257,18,0.0049,0.1184,2025-09-28T09:27:35.729715
500,4.036216432865731,19,0.0164,0.1097,2025-09-28T09:27:43.178361
500,8.226845691382765,21,0.0187,0.1178,2025-09-28T09:27:50.721990
500,6.163470941883768,22,0.0076,0.1233,2025-09-28T09:27:58.440032
500,5.928272545090181,23,0.0077,0.2113,2025-09-28T09:28:05.388819
500,8.461386773547094,24,0.0187,0.1182,2025-09-28T09:28:12.418974
500,7.373691382765531,27,0.0107,0.1197,2025-09-28T09:28:22.011589
500,7.256953907815631,28,0.0465,0.1171,2025-09-28T09:28:28.434181
500,7.427591182364729,29,0.3267,0.1218,2025-09-28T09:28:36.579862
500,7.259839679358717,30,0.1264,0.1814,2025-09-28T09:28:45.155053
