tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
1250,3.634231545236189,1,0.0026,0.8363,2025-09-28T11:03:43.077235
1250,3.3658094475580462,2,0.0026,0.6071,2025-09-28T11:04:55.305375
1250,4.359812970376301,3,0.0016,0.6985,2025-09-28T11:06:06.441494
1250,3.192664851881505,4,0.0616,0.6942,2025-09-28T11:07:02.687840
1250,3.0308662930344274,5,0.0071,0.6254,2025-09-28T11:07:57.277228
1250,2.851652201761409,6,0.0015,0.7243,2025-09-28T11:08:48.713463
1250,2.003189751801441,9,0.0017,0.7224,2025-09-28T11:09:52.439943
1250,1.9999974379503602,10,0.0022,0.4065,2025-09-28T11:10:41.491770
1250,1.9984,11,0.0019,0.7221,2025-09-28T11:11:30.184939
1250,2.1441281024819854,12,0.0016,0.5801,2025-09-28T11:12:19.131702
1250,3.0337012009607687,13,0.0023,0.7497,2025-09-28T11:13:08.780719
1250,3.1605393114491593,14,0.0012,0.7097,2025-09-28T11:14:00.600510
1250,3.5278078462770215,15,0.0037,0.6834,2025-09-28T11:14:50.864593
1250,3.4041377101681345,16,0.0034,0.7297,2025-09-28T11:15:41.436326
1250,4.376594395516413,17,0.0032,1.2452,2025-09-28T11:16:33.917551
1250,3.018463410728583,18,0.0022,0.6824,2025-09-28T11:17:29.889334
1250,4.109523779023219,19,0.0043,0.7568,2025-09-28T11:18:21.854919
1250,3.428579663730985,20,0.0038,0.5746,2025-09-28T11:19:15.941686
1250,3.859315292233787,21,0.0041,1.0045,2025-09-28T11:20:08.444382
1250,2.278781745396317,22,0.002,0.6977,2025-09-28T11:21:02.090464
1250,3.52648967173739,23,0.0064,1.197,2025-09-28T11:21:51.750447
1250,3.2838443554843875,24,0.0037,0.7199,2025-09-28T11:22:45.954462
1250,2.0799231385108086,25,0.0012,0.6997,2025-09-28T11:23:42.769940
1250,2.541058767013611,26,0.0046,0.696,2025-09-28T11:24:32.908528
1250,3.4120147317854284,27,0.0256,0.6589,2025-09-28T11:25:23.299578
1250,3.69893226581265,28,0.0081,0.7412,2025-09-28T11:26:14.306075
1250,5.259477982385909,29,0.1857,0.7982,2025-09-28T11:27:09.440699
1250,3.256896717373899,30,0.0035,0.7306,2025-09-28T11:28:02.920185
