tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
2500,2.1712412965186076,1,0.0022,2.6011,2025-09-28T23:57:28.563288
2500,4.098714045618247,2,0.0128,2.8079,2025-09-28T23:59:05.613475
2500,3.427804081632653,3,0.0024,2.5388,2025-09-29T00:00:46.843639
2500,3.52480256102441,4,0.0065,3.6159,2025-09-29T00:02:25.993754
2500,3.621294917967187,5,0.0034,3.7408,2025-09-29T00:04:07.759459
2500,3.6352256102440976,6,0.0038,2.8387,2025-09-29T00:05:53.458005
2500,3.1303644657863146,7,0.0028,2.679,2025-09-29T00:07:38.126408
2500,3.6087615846338537,8,0.0146,2.7454,2025-09-29T00:09:15.339295
2500,2.8436827531012403,10,0.0035,2.5974,2025-09-29T00:11:02.813448
2500,7.383832893157263,11,1.197,3.2197,2025-09-29T00:12:39.750247
2500,2.0317176470588234,12,0.0034,3.6257,2025-09-29T00:14:41.498264
2500,2.1751619047619046,13,0.0049,2.6341,2025-09-29T00:16:16.053678
2500,1.9999993597438976,14,0.0447,2.5892,2025-09-29T00:17:51.875539
2500,3.469209443777511,15,0.0066,2.7607,2025-09-29T00:19:26.455512
2500,3.7525422969187674,16,0.0113,2.9075,2025-09-29T00:21:05.007571
2500,1.9992,17,0.0041,1.499,2025-09-29T00:22:46.137167
2500,4.080180232092837,18,0.2931,2.7383,2025-09-29T00:24:20.930450
2500,3.579274589835934,19,0.0075,2.8445,2025-09-29T00:26:02.876610
2500,3.225739255702281,20,0.0373,2.6206,2025-09-29T00:27:44.454699
2500,3.0637736694677873,21,0.0207,2.8584,2025-09-29T00:29:21.840792
2500,3.163814965986395,22,0.115,3.723,2025-09-29T00:30:58.202533
2500,3.654574149659864,23,0.008,3.8365,2025-09-29T00:32:40.036779
2500,3.6285160464185675,24,0.0544,3.0894,2025-09-29T00:34:17.768210
2500,4.006078911564626,25,0.0312,4.3197,2025-09-29T00:36:05.194153
2500,3.3560525010004003,26,0.0048,3.885,2025-09-29T00:37:57.087120
2500,3.9696457783113246,27,0.0595,2.6675,2025-09-29T00:40:24.015319
2500,2.9064589035614246,28,0.0075,2.5459,2025-09-29T00:42:02.890964
2500,3.207281632653061,29,0.0029,3.1546,2025-09-29T00:43:37.871440
2500,2.167262104841937,30,0.0746,2.504,2025-09-29T00:45:27.597876
