tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
1000,3.5643623623623624,1,0.0018,0.4193,2025-09-28T10:15:34.300031
1000,3.3118638638638638,2,0.0012,0.3774,2025-09-28T10:16:25.923723
1000,3.9996356356356357,3,0.0025,0.4372,2025-09-28T10:17:19.169009
1000,3.056072072072072,4,0.0784,0.4084,2025-09-28T10:18:05.609489
1000,5.169151151151151,5,0.1102,0.448,2025-09-28T10:18:46.787274
1000,6.459313313313313,6,0.2116,0.5028,2025-09-28T10:19:31.249611
1000,3.6902842842842842,7,0.003,0.4213,2025-09-28T10:20:17.065418
1000,3.5652472472472474,8,0.0016,0.6523,2025-09-28T10:20:56.676317
1000,5.4252972972972975,10,0.1296,0.8711,2025-09-28T10:22:01.854573
1000,3.314904904904905,11,0.004,0.4347,2025-09-28T10:22:45.451113
1000,1.998,12,0.0013,0.2762,2025-09-28T10:23:26.336094
1000,1.998,13,0.0014,0.2475,2025-09-28T10:24:05.308217
1000,1.998,14,0.0026,0.4452,2025-09-28T10:24:44.840551
1000,2.3946066066066067,15,0.0027,0.5172,2025-09-28T10:25:25.057821
1000,2.062842842842843,16,0.0009,0.4426,2025-09-28T10:26:06.593111
1000,1.998,17,0.0009,0.2166,2025-09-28T10:26:45.581833
1000,3.2873013013013015,18,0.0033,0.3744,2025-09-28T10:27:24.770981
1000,2.754696696696697,19,0.0021,0.4007,2025-09-28T10:28:04.930292
1000,3.3875175175175176,20,0.0019,0.4168,2025-09-28T10:28:44.720675
1000,3.866216216216216,21,0.0011,0.4038,2025-09-28T10:29:26.438083
1000,3.597179179179179,22,0.0029,0.409,2025-09-28T10:30:09.796659
1000,4.256614614614614,23,0.0015,0.4589,2025-09-28T10:30:50.141770
1000,3.749047047047047,24,0.0061,0.4613,2025-09-28T10:31:34.124607
1000,4.22808008008008,25,0.0068,0.4229,2025-09-28T10:32:16.355943
1000,3.8033213213213215,26,0.004,0.4282,2025-09-28T10:32:57.079520
1000,2.9733853853853853,27,0.0014,0.3987,2025-09-28T10:33:39.411332
1000,3.1582782782782783,28,0.0014,0.4211,2025-09-28T10:34:19.882004
1000,2.047271271271271,29,0.0011,0.4395,2025-09-28T10:35:01.169651
1000,3.337845845845846,30,0.0252,0.3828,2025-09-28T10:35:40.737437
