tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
500,3.4892184368737476,1,0.0005,0.102,2025-09-28T09:15:01.769845
500,3.154324649298597,2,0.0012,0.1694,2025-09-28T09:15:35.426785
500,3.7269178356713426,3,0.0026,0.1916,2025-09-28T09:16:07.194967
500,2.0549739478957916,4,0.1228,0.2238,2025-09-28T09:16:41.762227
500,5.6872224448897795,5,0.1897,0.1293,2025-09-28T09:17:02.809671
500,3.8094589178356713,6,0.0012,0.0971,2025-09-28T09:17:26.978684
500,3.1509178356713425,7,0.0017,0.1309,2025-09-28T09:17:47.832129
500,4.7010420841683365,8,0.1103,0.1173,2025-09-28T09:18:26.978819
500,4.211118236472946,12,0.0917,0.11,2025-09-28T09:18:57.005170
500,3.21038877755511,13,0.0016,0.0872,2025-09-28T09:19:19.024206
500,3.3644729458917837,14,0.0017,0.085,2025-09-28T09:19:41.081855
500,2.2036633266533068,15,0.0616,0.1122,2025-09-28T09:20:01.838492
500,3.133194388777555,16,0.0005,0.1121,2025-09-28T09:20:22.490248
500,2.7373466933867734,17,0.0006,0.107,2025-09-28T09:20:44.624894
500,5.189442885771543,18,0.0323,0.1013,2025-09-28T09:21:03.829507
500,2.942436873747495,19,0.0005,0.1196,2025-09-28T09:21:24.584199
500,2.152929859719439,20,0.0012,0.194,2025-09-28T09:21:44.143248
500,2.007935871743487,21,0.0007,0.1291,2025-09-28T09:22:04.305078
500,2.468753507014028,22,0.0007,0.0705,2025-09-28T09:22:24.813937
500,1.996,23,0.0007,0.0706,2025-09-28T09:22:44.085876
500,1.996,24,0.0007,0.0609,2025-09-28T09:23:04.573116
500,1.996,25,0.0004,0.0643,2025-09-28T09:23:23.670650
500,1.996,26,0.0005,0.0638,2025-09-28T09:23:44.024351
500,1.996,27,0.0007,0.0606,2025-09-28T09:24:03.108881
500,2.93751503006012,28,0.0032,0.0875,2025-09-28T09:24:23.499711
500,2.8083527054108215,29,0.0004,0.0905,2025-09-28T09:24:44.794455
500,2.468937875751503,30,0.0004,0.0976,2025-09-28T09:25:04.277163
