tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
1750,3.5216218247161644,1,0.0036,1.5086,2025-09-28T13:13:43.258256
1750,3.498205995262599,2,0.0024,1.4749,2025-09-28T13:15:31.868664
1750,2.0068362329494405,3,0.0036,1.3642,2025-09-28T13:17:14.567167
1750,3.365858694764355,4,0.0624,1.4496,2025-09-28T13:18:23.705762
1750,2.0022804868087887,5,0.0022,2.1082,2025-09-28T13:19:42.462451
1750,3.2722411173731927,6,0.0033,1.1863,2025-09-28T13:20:52.162894
1750,2.313071632769746,7,0.0038,1.1467,2025-09-28T13:22:06.432311
1750,2.860274769255901,8,0.0028,1.4412,2025-09-28T13:23:16.209105
1750,3.068555746140652,9,0.003,1.3649,2025-09-28T13:24:29.634950
1750,3.8838193253287594,10,0.0026,1.3711,2025-09-28T13:25:42.765313
1750,3.772650494159928,11,0.0178,1.6878,2025-09-28T13:26:56.302676
1750,3.8795563178959407,12,0.0022,1.427,2025-09-28T13:28:13.706440
1750,2.949326145552561,13,0.0033,1.4198,2025-09-28T13:29:31.834822
1750,4.341599281221923,14,0.0073,1.6999,2025-09-28T13:30:45.111924
1750,3.1291121457159194,15,0.0037,2.0654,2025-09-28T13:32:11.477425
1750,2.7001251327289064,16,0.0032,1.7146,2025-09-28T13:33:27.042570
1750,3.21822559830107,17,0.0023,1.2919,2025-09-28T13:34:40.036412
1750,2.61039875847423,18,0.0042,1.3928,2025-09-28T13:35:52.888458
1750,4.022288001306869,19,0.0039,1.6901,2025-09-28T13:37:05.601635
1750,4.107028669443764,20,0.0036,1.8047,2025-09-28T13:38:18.998737
1750,3.9956873315363883,21,0.0057,1.4478,2025-09-28T13:39:34.005813
1750,3.7137316017316016,22,0.0315,1.8811,2025-09-28T13:40:53.965182
1750,3.4385977293147105,23,0.0086,1.7549,2025-09-28T13:42:07.652264
1750,5.87098064199951,24,0.1068,1.9931,2025-09-28T13:43:23.820839
1750,3.810607204116638,25,0.0036,1.6058,2025-09-28T13:44:39.186633
1750,2.937405537858368,26,0.0021,1.5827,2025-09-28T13:45:55.324746
1750,4.454923139753329,27,0.003,1.659,2025-09-28T13:47:11.405307
1750,3.562967246589888,28,0.0088,1.3869,2025-09-28T13:48:27.607740
1750,3.458674507882055,29,0.0023,2.4077,2025-09-28T13:49:45.433627
1750,3.6266241934166463,30,0.0134,1.8671,2025-09-28T13:51:00.997154
