tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
1250,6.164240192153723,1,0.0088,0.7765,2025-09-28T11:28:54.566548
1250,8.791424819855886,2,0.019,0.8146,2025-09-28T11:29:12.022218
1250,7.4791750200160125,3,0.0122,0.7965,2025-09-28T11:29:31.983232
1250,6.840545716573259,4,0.0059,0.8178,2025-09-28T11:29:50.321752
1250,7.748183827061649,5,0.1128,0.8358,2025-09-28T11:30:09.364168
1250,6.502210408326661,6,0.0066,0.8681,2025-09-28T11:30:29.012454
1250,10.825692233787029,7,0.0423,0.8302,2025-09-28T11:30:49.940500
1250,10.66391032826261,8,0.6759,1.4774,2025-09-28T11:31:09.622689
1250,7.850964291433146,9,0.0295,1.1563,2025-09-28T11:31:33.444268
1250,12.137998398718976,10,0.6348,0.9002,2025-09-28T11:31:52.980663
1250,8.168393274619696,11,0.0228,0.8262,2025-09-28T11:32:16.626407
1250,8.32934763811049,12,0.0136,0.7828,2025-09-28T11:32:35.183119
1250,8.319560608486789,13,0.0235,0.8116,2025-09-28T11:32:54.564970
1250,7.929292554043235,14,0.0133,0.8452,2025-09-28T11:33:13.053499
1250,7.206264211369096,15,0.014,0.8157,2025-09-28T11:33:32.595824
1250,7.205183026421137,16,0.008,0.8164,2025-09-28T11:33:50.895891
1250,11.737835708566854,17,0.0635,0.797,2025-09-28T11:34:10.680776
1250,8.154851561249,18,0.0125,0.8135,2025-09-28T11:34:29.077559
1250,5.9519666933546835,19,0.0157,0.7681,2025-09-28T11:34:48.296219
1250,8.384696877502002,21,0.0213,0.7882,2025-09-28T11:35:07.600908
1250,8.608937710168135,22,0.0189,0.8183,2025-09-28T11:35:26.630575
1250,8.159701521216974,23,0.0115,0.8439,2025-09-28T11:35:44.454496
1250,7.098600480384308,24,0.0297,0.8036,2025-09-28T11:36:03.994326
1250,8.632696877502001,27,0.016,0.7916,2025-09-28T11:36:24.179375
1250,6.894522978382706,28,0.0484,0.7798,2025-09-28T11:36:43.169408
1250,9.827156445156126,29,0.3354,0.8207,2025-09-28T11:37:01.748987
1250,13.439397918334668,30,0.1101,0.814,2025-09-28T11:37:22.704055
