tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
1500,3.6743126528796974,1,0.003,1.4851,2025-09-28T12:02:36.137215
1500,3.284252612853013,2,0.0068,2.1471,2025-09-28T12:04:08.122390
1500,2.9612310429175004,3,0.0021,0.9541,2025-09-28T12:05:53.069480
1500,3.184349566377585,4,0.0645,1.0281,2025-09-28T12:06:55.548027
1500,2.8139897709584165,5,0.0053,1.0054,2025-09-28T12:08:00.305077
1500,2.6173600177896374,6,0.0048,0.9951,2025-09-28T12:09:01.918405
1500,2.9749032688458974,7,0.0015,1.7924,2025-09-28T12:10:01.451483
1500,2.3714538581276408,8,0.0022,0.9191,2025-09-28T12:11:01.192480
1500,2.658169446297532,9,0.0024,0.9561,2025-09-28T12:12:01.895522
1500,2.6078950411385367,10,0.0023,0.9743,2025-09-28T12:13:02.761771
1500,3.421201690015566,11,0.0052,1.37,2025-09-28T12:14:02.157685
1500,4.423687791861241,12,0.0029,1.6763,2025-09-28T12:15:03.230030
1500,3.7686786746720036,13,0.0017,1.0187,2025-09-28T12:16:08.319101
1500,2.741018456748944,14,0.0025,1.0298,2025-09-28T12:17:13.700851
1500,2.4249944407382698,15,0.0014,1.0095,2025-09-28T12:18:14.424090
1500,4.351846119635312,16,0.0061,1.7701,2025-09-28T12:19:14.982290
1500,3.308629753168779,17,0.0024,0.9347,2025-09-28T12:20:20.287541
1500,3.6741258616855683,18,0.0026,1.0536,2025-09-28T12:21:25.958277
1500,3.0120533689126083,19,0.0023,0.9462,2025-09-28T12:22:29.831101
1500,3.631972426061819,20,0.008,1.07,2025-09-28T12:23:32.082157
1500,3.514564376250834,21,0.0242,1.2461,2025-09-28T12:24:39.231650
1500,2.12419212808539,22,0.0024,0.991,2025-09-28T12:25:39.923693
1500,5.585959528574605,23,0.114,1.0699,2025-09-28T12:26:40.105749
1500,2.411380031131866,24,0.0031,0.9674,2025-09-28T12:27:44.335299
1500,4.668586168556816,25,0.0028,1.0415,2025-09-28T12:28:44.337501
1500,3.751755392483878,26,0.0016,1.0316,2025-09-28T12:29:51.803276
1500,4.106998443406716,28,0.0033,1.0656,2025-09-28T12:30:59.292610
1500,3.618700466977985,29,0.0081,1.0945,2025-09-28T12:32:03.845593
1500,3.5104371803424503,30,0.0116,1.0897,2025-09-28T12:33:10.317502
