tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
2250,3.5258463514648484,1,0.0041,2.4757,2025-09-28T16:20:45.444821
2250,3.5211244503730055,2,0.0024,3.3394,2025-09-28T16:23:12.042684
2250,2.0053206857368706,3,0.0019,2.2274,2025-09-28T16:24:59.807515
2250,3.5478148312830395,4,0.0677,2.3734,2025-09-28T16:26:29.675336
2250,2.4390000494046737,5,0.002,1.2897,2025-09-28T16:28:19.457600
2250,3.94814208784151,6,0.0139,2.1649,2025-09-28T16:29:50.690855
2250,3.595510893730547,7,0.0123,3.313,2025-09-28T16:31:25.467483
2250,1.999111111111111,8,0.0019,1.3527,2025-09-28T16:33:07.558011
2250,4.145267526307989,9,0.0101,2.2504,2025-09-28T16:34:36.730121
2250,3.5194581295390543,10,0.0037,3.2479,2025-09-28T16:36:14.506876
2250,4.204335754162344,11,0.0031,2.425,2025-09-28T16:38:00.268291
2250,3.652269354280915,12,0.0033,2.4731,2025-09-28T16:39:55.513598
2250,2.1977507040165998,13,0.0024,3.3795,2025-09-28T16:41:57.243115
2250,3.0501255866805,14,0.0042,2.4256,2025-09-28T16:43:27.571684
2250,4.3903617410207,15,0.0048,2.1559,2025-09-28T16:45:00.344126
2250,3.783731633812559,17,0.0114,2.4332,2025-09-28T16:46:40.643770
2250,3.8604764586729905,18,0.003,2.431,2025-09-28T16:48:21.187272
2250,3.7613477594980487,19,0.0186,2.7714,2025-09-28T16:50:11.522427
2250,3.908121535497258,20,0.0145,2.419,2025-09-28T16:51:45.842091
2250,3.3444470134874758,21,0.0048,2.2229,2025-09-28T16:53:27.222048
2250,3.6297621659008943,22,0.0084,2.4249,2025-09-28T16:55:02.665363
2250,5.896952917345981,23,2.6272,3.9433,2025-09-28T16:56:45.114163
2250,4.227453189071686,24,0.0053,2.4348,2025-09-28T17:00:49.309137
2250,3.6664208290104243,26,0.0059,2.4855,2025-09-28T17:02:34.443020
2250,3.716768539103799,27,0.0144,2.3908,2025-09-28T17:04:15.123522
2250,3.9935339163084826,28,0.0074,3.9655,2025-09-28T17:06:00.105291
2250,6.020575268020354,29,0.4954,2.396,2025-09-28T17:08:14.106751
2250,2.982399288572699,30,0.0076,3.3812,2025-09-28T17:10:01.155202
