tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
2500,6.558137494997999,1,0.0201,3.154,2025-09-28T23:38:56.214085
2500,8.250264265706283,2,0.0235,3.0969,2025-09-28T23:39:35.896615
2500,8.477506202480992,3,0.0195,3.2526,2025-09-28T23:40:16.105467
2500,7.0395233293317325,4,0.0072,3.3796,2025-09-28T23:40:56.072742
2500,10.11633325330132,5,0.1499,4.1637,2025-09-28T23:41:38.435128
2500,7.635783273309324,6,0.0105,3.371,2025-09-28T23:42:22.299708
2500,9.608334853941576,7,0.0385,3.1732,2025-09-28T23:43:03.672408
2500,11.436639935974389,8,0.403,3.6556,2025-09-28T23:43:43.981152
2500,7.706686834733894,9,0.0288,3.1063,2025-09-28T23:44:31.806419
2500,13.607375110044018,10,0.6423,3.6804,2025-09-28T23:45:12.114385
2500,9.036921648659463,11,0.0389,3.7804,2025-09-28T23:46:04.764728
2500,9.074272589035614,12,0.0257,4.3951,2025-09-28T23:46:44.522452
2500,9.641167507002802,13,0.022,4.3839,2025-09-28T23:47:23.581964
2500,8.221197919167667,14,0.0176,4.4934,2025-09-28T23:48:02.460959
2500,8.193124609843938,15,0.0286,3.4231,2025-09-28T23:48:42.363518
2500,8.167337334933974,16,0.0232,3.2249,2025-09-28T23:49:22.303293
2500,8.77774693877551,17,0.0775,3.1711,2025-09-28T23:50:00.698491
2500,8.83382857142857,18,0.015,3.3618,2025-09-28T23:50:42.124476
2500,6.621548779511805,19,0.0271,3.1944,2025-09-28T23:51:21.052808
2500,8.83745594237695,21,0.0323,4.26,2025-09-28T23:52:02.114149
2500,9.329388075230092,22,0.0254,4.4203,2025-09-28T23:52:40.643346
2500,10.40317342937175,23,0.0216,4.3992,2025-09-28T23:53:18.476860
2500,7.22440400160064,24,0.0586,4.3701,2025-09-28T23:53:57.496013
2500,8.559876110444177,27,0.0276,3.1927,2025-09-28T23:54:40.642600
2500,9.228929011604642,28,0.0772,3.2499,2025-09-28T23:55:18.914613
2500,10.637467466986795,29,0.3408,3.7057,2025-09-28T23:56:01.933145
2500,8.936807042817128,30,0.1163,3.2616,2025-09-28T23:56:45.829913
