tamaño_objetivo,aspl,rep,tiempo_gen,tiempo_aspl,timestamp
1000,6.085273273273273,1,0.0133,0.8322,2025-09-28T10:36:22.811486
1000,8.646968968968968,2,0.0189,0.4738,2025-09-28T10:36:36.871022
1000,7.0866026026026026,3,0.0107,0.4704,2025-09-28T10:36:51.861803
1000,6.497455455455455,4,0.0056,0.5046,2025-09-28T10:37:06.624596
1000,7.6555355355355355,5,0.1,0.46,2025-09-28T10:37:21.052235
1000,6.748670670670671,6,0.0051,0.5484,2025-09-28T10:37:36.840025
1000,9.395257257257258,7,0.0326,0.4645,2025-09-28T10:37:53.505814
1000,10.015883883883884,8,0.3622,0.498,2025-09-28T10:38:08.871045
1000,7.832530530530531,9,0.0368,0.85,2025-09-28T10:38:28.295665
1000,11.84198998998999,10,0.58,0.5216,2025-09-28T10:38:44.067664
1000,8.119477477477478,11,0.0173,0.4901,2025-09-28T10:39:01.747762
1000,8.350698698698698,12,0.0122,0.491,2025-09-28T10:39:16.584151
1000,7.90413013013013,13,0.0207,0.7233,2025-09-28T10:39:31.401222
1000,7.619361361361362,14,0.0085,0.4802,2025-09-28T10:39:47.084222
1000,7.2381001001001,15,0.0133,0.4854,2025-09-28T10:40:01.699575
1000,7.418574574574574,16,0.0106,0.4717,2025-09-28T10:40:16.498158
1000,10.362992992992993,17,0.067,0.4609,2025-09-28T10:40:31.399669
1000,7.781635635635635,18,0.0103,0.4588,2025-09-28T10:40:46.204043
1000,5.60541941941942,19,0.025,0.8054,2025-09-28T10:41:00.989952
1000,10.832716716716718,21,0.0203,0.4708,2025-09-28T10:41:16.905243
1000,7.266102102102102,22,0.013,0.487,2025-09-28T10:41:31.181287
1000,8.717321321321322,23,0.0096,0.4636,2025-09-28T10:41:45.480363
1000,7.471653653653654,24,0.0316,0.4889,2025-09-28T10:41:59.838654
1000,8.6883003003003,27,0.0245,0.8254,2025-09-28T10:42:17.292652
1000,6.853815815815816,28,0.0442,0.4901,2025-09-28T10:42:31.982400
1000,9.457961961961962,29,0.351,0.4634,2025-09-28T10:42:47.132057
1000,8.214476476476477,30,0.0807,0.5002,2025-09-28T10:43:02.996620
